"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","August_Quantity","August_Value","September_Quantity","September_Value","October_Quantity","October_Value","November_Quantity","November_Value","December_Quantity","December_Value","12_months_Quantity","12_months_Value"
"EU",NA,0,4613250.45,NA,3168635.8,NA,4436571.95,NA,4236310.47,NA,3968952.67,NA,4280439.27,NA,4842414.59,NA,4603808.78,NA,3948056.17,NA,4862239.93,NA,4442418.87,NA,4319720.26,NA,51722820.48
"EU","Fibres, not spun",2062,5605.22,2451,7854.89,2576,7781.25,3063,9217.9,2318,7175.2,1227,4538.09,1911,6261.17,2885,8087,1999,6535.47,1787,5204.66,1289,5201.72,2413,7381.81,25981,80844.48
"EU","Pieces of cloth and other technical cloths",0,1397.92,0,1902.4,0,3684.82,0,10668.46,NA,4718.91,NA,3990.82,NA,4998.54,0,4734.34,0,3976.05,0,5669.42,0,4097.5,NA,2055.08,NA,51894.35
"EU","Bags, pockets, wallets, suitcases, hats and umbrellas",0,85636.31,0,41033.62,0,78404.51,0,87980.12,NA,73943.2,NA,84124.7,NA,81807.95,0,83201.18,0,71409.15,0,90040.98,0,87749.47,NA,94220.01,NA,959551.72
"EU","Coal",417,100.22,0,0,138,32.7,22116,7150.35,172,39.99,NA,0,NA,0,0,0,0,0,25000,6072.01,10910,3014.16,NA,0,58753,16409.45
"EU","Articles of rubber",0,9718.4,0,7867.31,0,12330.52,0,9617.08,NA,9340.43,NA,8970.7,NA,10724.58,0,12149.6,0,8771.83,0,9365.86,0,8391.59,NA,11364.95,NA,118613.2
"EU","Iron, Steel",354003,226892.47,279786,198109.54,266654,192460.63,290147,222975.94,242475,162269.1,210035,149226.81,209268,166178.34,229321,170298.83,126843,106007.07,370768,240004.02,142187,101457.54,134480,99552.88,2855967,2035433.43
"EU","Articles of iron and steel",0,51132.62,0,45194.91,0,53569.46,0,62296.27,NA,53901.03,NA,51230.15,NA,74236.59,0,70047.35,0,39646.54,0,49523.36,0,52354.13,NA,61670.18,NA,664803.35
"EU","Articles of plastics",0,57922.17,0,37582.89,0,59947.64,0,65873.67,NA,49799.84,NA,56701.1,NA,55730.44,0,61188.78,0,50173.75,0,56372.64,0,53743.66,NA,64050.55,NA,669087.75
"EU","Other furniture products (excluding wooden furniture)",0,4419.14,0,2533.25,0,3998.6,0,2762.03,NA,1957.16,NA,941.61,NA,502.9,0,940.98,0,1564.4,0,4268.11,0,3798.17,NA,3536.39,NA,31222.84
"EU","Rattan, bamboo and rush products",0,20929.6,0,11573.09,0,19618.37,0,15511.4,NA,13504.85,NA,11901.7,NA,15252.49,0,14218.36,0,10354.86,0,16976.84,0,20198.45,NA,23191.81,NA,193232.28
"EU","Pottery and glasware",0,8444.26,0,3959.65,0,5422.58,0,5130.62,NA,3924.7,NA,4252.34,NA,4154.3,0,5311.32,0,5463.9,0,9608.56,0,8185.16,NA,9954.98,NA,73812.77
"EU","Means of transport and equipment",0,96135.59,0,84741.31,0,146900.55,0,170459.36,NA,100621.73,NA,96969.05,NA,103630.57,0,95929.16,0,92726.91,0,77259.43,0,103889.49,NA,115641.61,NA,1284905.37
"EU","Auxiliary materials for textile, garment, leather, footwear",0,17227.24,0,8124.81,0,18525.3,0,19162.98,NA,18478.48,NA,19599.24,NA,24225.16,0,23286.56,0,17080.81,0,19936.51,0,19533.29,NA,19199.83,NA,224380.67
"EU","Computers, Electronical products & parts",0,550471.96,0,452648.87,0,625885.02,0,603150.7,NA,603710.3,NA,735743.15,NA,797263.04,0,870699.71,0,740830.29,0,897837.71,0,929023.35,NA,879085.9,NA,8686350.75
"EU","Other Machinery, instrument, accessory",0,540809.58,0,399962.84,0,614948.71,0,516335.2,NA,517668.75,NA,534117.49,NA,670243.09,0,613046.86,0,660668.3,0,720430.59,0,607381.05,NA,574574.31,NA,6970187.42
"EU","Cameras and their parts",0,12364.4,0,13799.76,0,19660.17,0,79079.21,NA,45235.87,NA,37110.36,NA,41736.21,0,41920.33,0,39525.89,0,26392.16,0,38339.31,NA,30509.07,NA,425672.89
"EU","Other base metals and products",0,18643.68,0,10347.85,0,14913.84,0,30641.9,NA,23694.1,NA,13839.3,NA,11992.59,0,12263.16,0,13136.93,0,12989.09,0,13120.99,NA,16352.58,NA,191936.3
"EU","Chemicals",0,5350.39,0,4839.4,0,6784.35,0,3577.71,NA,6610.8,NA,6925.16,NA,3248.37,0,4174.77,0,5625.85,0,8440.89,0,6152.26,NA,4023.07,NA,65753.16
"EU","Pepper",2971,12775.36,2016,9464.49,4921,22949.09,5419,26517.29,3689,18237.89,4052,22545.81,3920,24543.06,2724,16640.03,2435,17176.58,3843,27234.09,2414,17197.63,3163,20516.3,41567,235797.95
"EU","Cashew nut",10220,55067.71,4717,25802.1,9823,52235.02,16841,91149.57,11893,63094.63,13971,81831.57,14268,86725.64,14122,88390.07,10827,67900.15,14005,87416.32,11509,71872.47,10311,66199.36,142507,837684.99
"EU","Seafood",0,69452.69,0,44141.3,0,77406.48,0,83422.46,NA,90436.38,NA,95700,NA,87091.68,0,93875.63,0,75763.8,0,83884.04,0,78052.62,NA,77968.18,NA,957195.91
"EU","Fresh and pocessed vegetables and fruit",0,18208.47,0,13991.05,0,22443.84,0,23466.26,NA,24822.99,NA,22267.54,NA,20405.75,0,19660.76,0,12049.38,0,18998.12,0,17796.6,NA,28351.83,NA,242462.85
"EU","Textile, sewing products",0,333475.95,0,201543.12,0,259495.16,0,334777.55,NA,364975.22,NA,413050.92,NA,434758.68,0,411099.94,0,323725.11,0,396190.32,0,381181.25,NA,387656.76,NA,4241930.73
"EU","Paper and paper products",0,167.96,0,186.03,0,106.88,0,221.49,NA,256.46,NA,222.54,NA,289.12,0,269.52,0,272.1,0,356.48,0,327.47,NA,155.35,NA,2831.44
"EU","Footwear",0,494930.44,0,265179.31,0,427215.21,0,513887.13,NA,478714.06,NA,507130.96,NA,475243.94,0,434484.38,0,417461.91,0,588278.33,0,572184.82,NA,565443.05,NA,5740154.39
"EU","Wood and wooden products",0,67334.17,0,32260.34,0,51584.74,0,42110.67,NA,32235.45,NA,30602.11,NA,31756.65,0,30813.98,0,29861.33,0,53155.94,0,59775.45,NA,71747.49,NA,533239.01
"EU","Rice",5163.68,4271.06,2602.76,2019.8,2056.6,1719.82,3010.47,2388.47,2095.6,1650.27,2574.9,2024.23,1420.05,1173.83,2338.9,1901.85,905,787.04,2330.99,1950.51,2776,2100.19,2345,1963,29620,23950.26
"EU","Electrical wire and cable",0,3073.9,0,4632.55,0,3272.5,0,1879.87,NA,4265.81,NA,3274.66,NA,3926.01,0,783.85,0,1647.54,0,4748.71,0,1411.87,NA,2300.11,NA,35217.46
"EU","Tea",149,334.87,51,84.56,19,69.34,104,237.9,22,133.76,18,96.79,77,117.17,41,128.82,84,178.82,111,272.69,92,238.17,43,139.76,811,2032.74
"EU","Plastic materials",7139,7544.42,7482,8515.15,18465,20016.64,84286,90917.16,18586,20347.02,13352,15806.94,8594,10524.04,12224,14061.09,21382,22614.69,27469,27413.6,21625,21872.98,8999,9590.14,249603,269224.08
"EU","Rubber",3734,5362.59,5456,8505.85,9132,15172.36,3714,6416.71,2587,4637.83,4886,8974.9,6394,11395.54,14159,25448.7,14362,25845.63,7132,13673.5,1642,3305.31,3270,6757.67,76468,135496.88
"EU","Coffee",87748,263178.64,73638,237360.03,80387,277876.36,61626,236174.57,27249,113841.43,23980,106352.03,27345,135591.36,31124,162274.63,19612,108434.09,17473,102130.97,27676,150180.23,50724,263323.31,528582,2156718.25
