"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","7_months_Quantity","7_months_Value"
"EU",NA,0,4718861.64,0,4055711.37,0,4937196.74,0,4748082.01,0,4551534.83,0,4328316.35,NA,4844252.39,NA,32183956.04
"EU","Fibres, not spun",2240,6006.35,1740,5180.93,2141,6840.48,2366,7347.68,2023,6570.55,2514,8692.4,2690,8536.77,15714,49175.22
"EU","Pieces of cloth and other technical cloths",0,3599.97,0,3378.97,0,4116.06,0,3721.49,0,4704.29,0,4096.91,NA,4943.01,NA,28560.74
"EU","Bags, pockets, wallets, suitcases, hats and umbrellas",0,76986.35,0,59147.08,0,89491.17,0,99798.67,0,95925.71,0,75741.3,NA,80762.97,NA,577853.54
"EU","Coal",0,0,0,0,0,0,22117,5472.17,152,32.68,368,77.23,10490,2442.73,33127,8024.83
"EU","Articles of rubber",0,8606.72,0,6691.24,0,7198.58,0,10034.3,0,8531.27,0,6904.17,NA,8484.9,NA,56451.39
"EU","Iron, Steel",192989,143123.83,149069,97651.97,160209,102000.38,231563,159169.32,187537,120813.66,224500,148731.27,201698,139250.76,1347565,910741.36
"EU","Articles of iron and steel",0,73032.32,0,74070.73,0,79067.69,0,63312.79,0,64696.36,0,47979.08,NA,54140.77,NA,456300.09
"EU","Articles of plastics",0,55707.57,0,46904.34,0,59997.31,0,60135.22,0,52804.78,0,54609.79,NA,57823.57,NA,387982.9
"EU","Other furniture products (excluding wooden furniture)",0,3621.63,0,2050.79,0,3179.97,0,1632.69,0,942,0,1023.03,NA,885.43,NA,13335.6
"EU","Rattan, bamboo and rush products",0,17805.45,0,11846.78,0,17790.53,0,15550.24,0,13250.49,0,12634.33,NA,13070.69,NA,101948.78
"EU","Pottery and glasware",0,6868.43,0,3922.18,0,4921.93,0,4746.53,0,4807.8,0,5663.27,NA,4747.36,NA,35677.76
"EU","Means of transport and equipment",0,143346.97,0,127079.06,0,120070.87,0,106910.08,0,108558.57,0,118498.98,NA,149718.79,NA,874183.68
"EU","Auxiliary materials for textile, garment, leather, footwear",0,16980.39,0,14440.25,0,19468.57,0,17690.7,0,17422.43,0,16597.87,NA,19623.6,NA,122224.01
"EU","Computers, Electronical products & parts",0,767766.33,0,625735.94,0,767878.19,0,687625.4,0,579312.62,0,621640.01,NA,795048.94,NA,4845007.83
"EU","Other Machinery, instrument, accessory",0,536155.35,0,472760.8,0,641930.29,0,609644.52,0,600870.51,0,547361.08,NA,596811.79,NA,4005534.73
"EU","Cameras and their parts",0,30534.52,0,34821.43,0,28057.89,0,33558.89,0,30997.82,0,31745.99,NA,30488.77,NA,220205.4
"EU","Other base metals and products",0,15905.79,0,17304.1,0,22489.23,0,23436.03,0,26447.4,0,24341.2,NA,23626.2,NA,153550.13
"EU","Chemicals",0,3450.28,0,1053.97,0,3288.6,0,3182.77,0,4838.33,0,2431.6,NA,2176.44,NA,20422.03
"EU","Pepper",2625,18006.7,2807,19774.96,3464,24452.61,3897,29162.42,3556,28118.42,2729,22033.63,2556,20099.66,21634,161648.59
"EU","Cashew nut",9008,62013.45,6844,47516.32,10440,73661.68,11052,77504.22,12763,91237.26,14446,104363.26,15830,112718.66,80383,569015.04
"EU","Seafood",0,70462.54,0,57036.87,0,92688.15,0,91648.97,0,93385.14,0,87497.8,NA,97406.21,NA,590126.07
"EU","Fresh and pocessed vegetables and fruit",0,19207.56,0,15857.71,0,27254.44,0,29648.49,0,42750.59,0,34655.7,NA,36427.48,NA,205802.07
"EU","Textile, sewing products",0,344802.08,0,228475.61,0,325494.85,0,408953.43,0,442232.78,0,467385.55,NA,497827.2,NA,2715171.97
"EU","Paper and paper products",0,472.99,0,176.53,0,307.48,0,374.46,0,354.57,0,362.97,NA,447.14,NA,2496.16
"EU","Footwear",0,461082.62,0,342516.59,0,536543.19,0,611384.66,0,528534.31,0,529722.49,NA,468252.08,NA,3478036.41
"EU","Wood and wooden products",0,55636.74,0,38985.35,0,52495.42,0,47946.05,0,41810.07,0,33049.61,NA,46464.92,NA,316388.53
"EU","Rice",2637,2187.22,1532,1176.84,2253,1771.19,4941,3716.87,3800,2853.53,3129,2423.92,3416,2514.59,21708,16644.28
"EU","Electrical wire and cable",0,1534.29,0,5071.5,0,3541.85,0,2236.81,0,1906.02,0,4836.56,NA,3302.11,NA,22429.2
"EU","Tea",31,135.09,75,123.6,43,72.48,12,33.99,8,81.64,118,265.3,48,182.15,335,894.3
"EU","Plastic materials",13640,13558.42,33963,32609.3,39395,38151.06,31024,29799.42,44071,42067.67,30069,28820.61,15890,17084.29,208052,202090.89
"EU","Rubber",2620,4888.55,4327,8018.38,4834,9942.07,2866,5770.08,4083,7767.48,4316,7906.54,7733,13932.96,30779,58226.26
"EU","Coffee",66116,355613.02,79556,451486.63,80375,466365.29,75574,428772.09,65415,362739.36,42568,233825.07,37778,195117.06,447382,2493918.79
"EU","Chemical products",0,2026.18,0,2181.13,0,1286.36,0,3082.86,0,3656.61,0,2971.48,NA,3011.81,NA,18216.51
"EU","Sweets, cookies and cereal preparations",0,16360.99,0,11701.73,0,14456.37,0,14333.05,0,14158.26,0,13419,NA,14162.49,NA,98592.03
"EU","Telephones and their parts",0,832067.04,0,683769.26,0,665857.41,0,375413.38,0,499712.21,0,440402.38,NA,662055.9,NA,4159277.97
"EU","Toys, games and sports requisites; parts and accessories thereof",0,25887.3,0,31840.56,0,43587.89,0,30295.43,0,31024.37,0,43019.71,NA,60276.24,NA,265931.73
"EU","Precious stones, precious metals and their products",0,5930.03,0,6896.52,0,12926.92,0,7408.64,0,8713.39,0,9916.17,NA,8766.31,NA,60558.09
"ASEAN",NA,0,2751243.94,0,2972706.36,0,3492560.2,0,3369241.18,0,3190512.77,0,3221135.15,NA,3216430.36,NA,22213830.21
"ASEAN","Fibres, not spun",11935,34063.7,12053,32128.22,11762,31034.94,12482,35209.38,11315,29371.94,11688,29531.89,11752,29742.01,82987,221082.26
"ASEAN","Petroleum oil, refined",60045,40242.98,46763,29966.99,84862,51919.86,102225,58376.29,33936,17129.41,44469,24967.49,55822,31707.14,428122,254310.27
"ASEAN","Pieces of cloth and other technical cloths",0,5055.59,0,6712.78,0,6034.37,0,7823.29,0,7401.58,0,6574.31,NA,5754.39,NA,45356.36
"ASEAN","Bags, pockets, wallets, suitcases, hats and umbrellas",0,5766.28,0,4171.73,0,5976.7,0,4875.58,0,6834.76,0,5695.77,NA,5768.29,NA,39089.19
"ASEAN","Animal fodder and materials",0,28854.34,0,29405.31,0,28661.08,0,31964.96,0,34532.02,0,37821.74,NA,47557.34,NA,238797.01
"ASEAN","Glass and glassware",0,58618.46,0,52355.26,0,59716.97,0,54053.44,0,49801.12,0,63082.11,NA,59531.27,NA,397158.78
"ASEAN","Coal",36088,6496.05,50328,8892.87,1868,376.9,29624,5080.32,458,95.17,29749,5117.59,41977,6739.68,190092,32798.65
"ASEAN","Articles of rubber",0,4998.91,0,5427.96,0,7602.97,0,7009.9,0,8705.86,0,8893.71,NA,7789.75,NA,50429.2
"ASEAN","Iron, Steel",253966,152094.99,355870,210907.96,315140,186451.79,308460,189261.2,261871,162744.35,253529,158254.74,236383,147351.66,1985219,1207066.9
"ASEAN","Casava and casava products",4253,1698.35,5395,2083.11,8277,3073.87,4303,1601,4015,1495.59,6060,1691.17,3686,1379.63,35989,13022.79
"ASEAN","Articles of iron and steel",0,46894.92,0,41669.56,0,56109.93,0,55971.14,0,71060.7,0,52144.34,NA,56467.37,NA,380318.22
"ASEAN","Articles of plastics",0,54554.97,0,54950.01,0,63938.8,0,54744.93,0,59161.61,0,59853.85,NA,56459.35,NA,403663.72
"ASEAN","Other furniture products (excluding wooden furniture)",0,1559.94,0,1133.22,0,1728.5,0,1542.12,0,1071.5,0,1087.5,NA,1321.04,NA,9443.93
"ASEAN","Pottery and glasware",0,8044.2,0,6861.21,0,10264.55,0,12319.03,0,10203.43,0,11916.58,NA,10160.73,NA,69769.93
"ASEAN","Ores and other minerals",11281,1499.49,9308,2158.08,618,441.47,8325,1569.27,9034,1828.21,672,206.7,11424,1918.02,50662,9621.32
"ASEAN","Means of transport and equipment",0,153617.76,0,199518.11,0,327437.8,0,253379.32,0,242612.02,0,288684.61,NA,321994.65,NA,1787244.52
"ASEAN","Fertilizers",63898,25408.39,90092,31596.9,90774,27647.23,104421,42495.14,109246,48976.14,124634,56618.15,90201,40852.07,673266,273594.19
"ASEAN","Auxiliary materials for textile, garment, leather, footwear",0,78925.51,0,65529.1,0,81545.48,0,82469.3,0,75248.11,0,72255,NA,86262.16,NA,542234.81
"ASEAN","Computers, Electronical products & parts",0,221336.04,0,276657.78,0,458581.13,0,378452.16,0,373974,0,409503.9,NA,341935.95,NA,2460441.13
"ASEAN","Other Machinery, instrument, accessory",0,269516.83,0,258082.03,0,304804.02,0,291255.07,0,311585.07,0,299323.99,NA,314867.64,NA,2049434.87
"ASEAN","Cameras and their parts",0,1941.51,0,2104.69,0,1305.95,0,497.83,0,830.17,0,733.49,NA,335.73,NA,7749.39
"ASEAN","Other base metals and products",0,35635.2,0,39776.93,0,36831.87,0,45208.42,0,47374.24,0,43503.16,NA,44407.52,NA,292737.59
"ASEAN","Chemicals",0,44002.69,0,89397.42,0,36432.23,0,49463.81,0,53036.81,0,37597.79,NA,13358.93,NA,323289.86
"ASEAN","Pepper",887,6165.41,1360,9361.92,1498,10053.05,1342,9142.62,1344,9570.06,1976,13016.32,1544,9326.75,9951,66636.26
"ASEAN","Cashew nut",1263,8023.95,566,3480.7,1247,8161.32,923,5816.06,966,6248.84,1470,9845.44,1596,10133.62,8031,51710.01
"ASEAN","Seafood",0,51943.96,0,45308.82,0,57275.26,0,55416.42,0,58045.61,0,59453.18,NA,63464.63,NA,390908.05
"ASEAN","Fresh and pocessed vegetables and fruit",0,33106.56,0,25387.86,0,32363.3,0,24839.14,0,21568.32,0,18868.85,NA,25735.83,NA,181870.03
"ASEAN","Textile, sewing products",0,180060.1,0,163008.87,0,186127.98,0,164182.82,0,177013.28,0,169526.18,NA,193994.54,NA,1233914
"ASEAN","Paper and paper products",0,41351.34,0,52955.35,0,54014.41,0,49536.55,0,53322.92,0,51207.51,NA,56264.76,NA,358653.08
"ASEAN","Footwear",0,50451.84,0,49696.98,0,43091.52,0,40844.19,0,65384.21,0,50112.88,NA,47696.64,NA,347278.38
"ASEAN","Wood and wooden products",0,26606.91,0,22797.92,0,35614.99,0,31654.55,0,29888.19,0,28659.77,NA,30324.42,NA,205546.9
"ASEAN","Rice",255469,144376.91,357723,178551.12,531605,254810.28,561853,274522.82,490999,247243.78,263270,130354.5,414827,193657.93,2875746,1423517.45
"ASEAN","Crude oil",39163,25380.17,74520,44248.72,120125,71431.37,136661,77564.22,38444,17253.39,66721,38117.04,77189,41562.5,552823,315557.43
"ASEAN","Electrical wire and cable",0,27638.1,0,27561.37,0,28995.41,0,30867.16,0,36067.82,0,30064.74,NA,35191.47,NA,216386.29
"ASEAN","Clinkers and cement",659436,23150.17,908551,33827.51,938118,34728.73,607950,25062.37,700536,27645.84,557586,22020.92,517622,21219.1,4889799,187654.74
"ASEAN","Tea",1167,1220.84,1561,1705.43,1546,1381.2,1200,1269.51,977,1045.11,968,923.38,1104,1367.67,8523,8913.2
"ASEAN","Plastic materials",36481,44619.86,42602,52812.17,28655,36734.58,35948,43794.4,31547,39028.7,33780,39730.36,39238,47833.51,248251,304553.76
"ASEAN","Rubber",10875,18292.34,6391,12273.44,4874,9017.09,2171,4108.05,4024,6385.06,11426,16506.27,9488,13271.22,49249,79853.53
"ASEAN","Coffee",9207,62657.26,14639,97276.1,15701,108849.45,17564,117695.15,15189,109864.83,16433,111630.88,11124,78273.18,99857,686247.09
"ASEAN","Chemical products",0,122914.69,0,107996.25,0,124106.24,0,129163.96,0,93306.21,0,94531.98,NA,102180.58,NA,774200.08
"ASEAN","Sweets, cookies and cereal preparations",0,16001.11,0,17735.78,0,19662.65,0,17470.86,0,18534.11,0,18154.65,NA,20723.71,NA,128283.1
"ASEAN","Telephones and their parts",0,233106.55,0,161035.94,0,207679.65,0,159503.14,0,157839.68,0,216251.73,NA,202605.81,NA,1338022.61
"ASEAN","Toys, games and sports requisites; parts and accessories thereof",0,1501.27,0,2168.82,0,2415.42,0,1893.3,0,2336.29,0,1986.19,NA,2123.38,NA,14424.72
"ASEAN","Precious stones, metals and products",0,1296.43,0,2996.22,0,2464.71,0,3025.25,0,1885.46,0,1048.82,NA,2865.17,NA,15582.1
"United States",NA,0,10492419.28,0,9058688.65,0,11843077.14,0,12007539.57,0,13735629.25,0,13767246.92,NA,14217934.19,NA,85122535.02
"United States","Fibres, not spun",10160,14413.19,12679,17038.79,14394,19940.53,15302,20266.4,18598,25589.16,14127,21031.45,14523,21063.57,99783,139343.12
"United States","Petroleum oil, refined",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"United States","Pieces of cloth and other technical cloths",0,14705.96,0,15829.73,0,18614.26,0,17341.37,0,22110.78,0,9929.21,NA,14209.92,NA,112741.26
"United States","Bags, pockets, wallets, suitcases, hats and umbrellas",0,153246.39,0,107434.95,0,154678.72,0,163920.83,0,177367.83,0,182003.98,NA,189923.16,NA,1128575.89
"United States","Animal fodder and materials",0,6089.28,0,6723.53,0,8357.43,0,10151.32,0,8578.47,0,14386.56,NA,11081.06,NA,65367.68
"United States","Glass and glassware",0,23045.62,0,23175.15,0,29523.94,0,37149.51,0,37805.24,0,39635.54,NA,37312.52,NA,227647.56
"United States","Articles of rubber",0,46446.96,0,44128.81,0,52067.02,0,59109.51,0,59190.33,0,61364.12,NA,49783.03,NA,372089.81
"United States","Iron, Steel",129912,75449.53,98862,58019.87,120416,75572.95,36892,31791.59,108997,67355.23,49418,35314.22,75119,46563.16,619616,390066.57
"United States","Articles of iron and steel",0,117433.53,0,93533.54,0,130310.46,0,126516.16,0,116917.21,0,133943.54,NA,152205.95,NA,870860.42
"United States","Articles of plastics",0,291982.58,0,219045.62,0,309160.37,0,292987.8,0,348417.66,0,319224.7,NA,350061.68,NA,2130880.44
"United States","Rattan, bamboo and rush products",0,31547.41,0,23768.49,0,36190.48,0,36813.28,0,43391.4,0,35959.98,NA,31230.52,NA,238901.6
"United States","Pottery and glasware",0,16195.31,0,11543.74,0,14333.83,0,13160.47,0,13092.72,0,11556.45,NA,11002.61,NA,90885.16
"United States","Means of transport and equipment",0,225561.56,0,232870.08,0,291787.59,0,305016.63,0,320625.72,0,314784.71,NA,343661.98,NA,2034308.29
"United States","Auxiliary materials for textile, garment, leather, footwear",0,15989.84,0,12539.11,0,14375.96,0,17691.73,0,21541.08,0,21387.62,NA,22590.34,NA,126115.72
"United States","Computers, Electronical products & parts",0,2193974.05,0,2132835.91,0,3143267.52,0,3242964.12,0,3844265.13,0,3940697.33,NA,3740635.96,NA,22238640.05
"United States","Other Machinery, instrument, accessory",0,1641179,0,1659832.46,0,1956141.75,0,1900019.04,0,2106273.21,0,2041714.68,NA,1991943.25,NA,13297103.43
"United States","Cameras and their parts",0,85508.4,0,92551.75,0,117961.06,0,128144.84,0,143756.72,0,192657.4,NA,154479.26,NA,915059.46
"United States","Other base metals and products",0,78055.98,0,64146.05,0,91684.78,0,88804.45,0,95519.92,0,75862.42,NA,77186.62,NA,571260.25
"United States","Chemicals",0,5241.52,0,5475.07,0,4206.98,0,6623.23,0,6765.89,0,5607.4,NA,5337.91,NA,39258.02
"United States","Pepper",2830,21726.13,3038,23011.64,5126,38467.19,6767,49319.48,6926,52353.06,4257,35263.22,3826,28116.39,32770,248257.15
"United States","Cashew nut",8369,54850.1,6963,48710.25,13531,93664.47,13528,92058.82,17360,117605.86,10324,68561.53,12948,85680.87,83023,561131.93
"United States","Seafood",0,106837.46,0,108807.9,0,154882.22,0,161340.99,0,234190.36,0,131708.32,NA,149703.37,NA,1047470.65
"United States","Fresh and pocessed vegetables and fruit",0,31173.42,0,34306.02,0,46133.45,0,42584.55,0,53520.77,0,53807.05,NA,54346.63,NA,315871.92
"United States","Textile, sewing products",0,1398111.63,0,1058060.93,0,1331839.29,0,1368495.14,0,1566451.16,0,1747093.23,NA,1823460.27,NA,10293511.67
"United States","Paper and paper products",0,44906.33,0,42549.57,0,65990.41,0,81879.06,0,73890.57,0,66422.25,NA,78345.95,NA,453984.16
"United States","Footwear",0,707154.24,0,585432.79,0,680473.71,0,845824.97,0,766368.43,0,762808.23,NA,885793.76,NA,5233856.16
"United States","Wood and wooden products",0,779804.65,0,521951.28,0,832654.39,0,798515.02,0,851459.3,0,777871.01,NA,843731.81,NA,5405987.5
"United States","Rice",2575,2411.34,3149,2876.42,3347,2697.88,2714,2558.57,5726,5685.68,3469,2784.69,1905,1479.28,22885,20493.88
"United States","Crude oil",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"United States","Electrical wire and cable",0,99405.2,0,94752.58,0,117581,0,126281.97,0,137870.66,0,144894.03,NA,127920.14,NA,848705.61
"United States","Tea",315,500.12,515,693.46,682,938.76,518,845.59,642,868.2,289,512.16,483,743.56,3444,5101.89
"United States","Rubber",2618,5321.98,1174,2484.23,2565,5238.54,1551,3014.48,1960,3510.74,2492,4345.91,3077,5268.2,15437,29184.1
"United States","Coffee",10586,52768.85,11959,67878.33,9850,59651.83,10173,56493.3,11742,62134.47,6289,34350.87,1657,10671.34,62256,343949.03
"United States","Chemical products",0,12886.48,0,8457.63,0,12695.15,0,13477.57,0,12145.9,0,8377.11,NA,12087.35,NA,80127.22
"United States","Sweets, cookies and cereal preparations",0,14417.43,0,12609.31,0,17354.08,0,13974.98,0,18363.41,0,15929.1,NA,10842.03,NA,103490.36
"United States","Telephones and their parts",0,1120466.11,0,830886.59,0,794982.28,0,694452.35,0,963812.39,0,950746.01,NA,1110423,NA,6465768.75
"United States","Toys, games and sports requisites; parts and accessories thereof",0,265719.9,0,223196.65,0,299076.03,0,369417.47,0,499301.22,0,634337.8,NA,724301.22,NA,3015350.31
"United States","Precious stones, precious metals and their products",0,13390.12,0,20326.2,0,21097.06,0,13790.74,0,19916.42,0,20939.68,NA,36428.09,NA,145888.34
"Japan",NA,0,2148211.84,0,2010816.05,0,2241062.57,0,2075433.87,0,2089446.9,0,2242879.53,NA,2340833.69,NA,15148684.48
"Japan","Fibres, not spun",3402,7406.59,3393,8083.7,4197,9489.83,4312,9126.41,3756,8702.2,3875,9035.78,3222,7165.78,26157,59010.32
"Japan","Pieces of cloth and other technical cloths",0,4287.15,0,3153.04,0,6186.79,0,5142.51,0,5482.46,0,6077.61,NA,6181.09,NA,36510.67
"Japan","Bags, pockets, wallets, suitcases, hats and umbrellas",0,46319.76,0,28781.93,0,29435.64,0,34309.84,0,32015.97,0,38606.9,NA,35523.97,NA,244994.03
"Japan","Animal fodder and materials",0,2397.55,0,1752.42,0,1559.23,0,1937.95,0,1498.26,0,2131.12,NA,1830.24,NA,13106.8
"Japan","Glass and glassware",0,1428.18,0,1573.87,0,1354.93,0,1939.88,0,2383.74,0,954.33,NA,2611.1,NA,12246.05
"Japan","Coal",49,20.3,33015,6773.19,136,60.39,28646,5626.78,3497,883.48,22644,3885.39,120,50.01,88107,17299.58
"Japan","Articles of rubber",0,14377.94,0,13886.96,0,15300.17,0,15370.7,0,12952.32,0,13365,NA,13399.3,NA,98652.42
"Japan","Iron, Steel",3788,4632.7,4179,4642.74,4830,5560.92,5139,5753.34,4395,5430.5,5188,5485.95,3492,4101.9,31011,35608.06
"Japan","Articles of iron and steel",970,378.41,1053,352.37,260,101.06,1843,650.52,1797,616.01,1825,610.42,206,52.52,7954,2761.33
"Japan","Cassava & products",0,49572.76,0,50535.56,0,55044.63,0,51063.83,0,48684.75,0,51863.25,NA,53534.48,NA,360299.29
"Japan","Articles of plastics",0,60601.96,0,61046.67,0,66370.8,0,62679.89,0,59406.04,0,57910.38,NA,61346.55,NA,429362.32
"Japan","Rattan, bamboo and rush products",0,4174.89,0,3471.21,0,4318.2,0,4898.74,0,4217.81,0,4573.69,NA,4425.17,NA,30079.74
"Japan","Pottery and glasware",0,7022.62,0,6925.05,0,7663.43,0,7370.37,0,7373.79,0,7504.03,NA,7200.62,NA,51059.94
"Japan","Ores and other minerals",77,19.24,8765,2489.88,4050,525.41,8900,2327.73,8895,2303.46,9476,2451.4,4787,632.83,44950,10749.98
"Japan","Means of transport and equipment",0,256501.73,0,261042.39,0,270666.52,0,249555.84,0,285319,0,265079.08,NA,280757.82,NA,1868922.41
"Japan","Fertilizers",6414,3032.87,5592,2583.95,3660,1779.14,4681,2258.61,5627,2923.36,1290,627.2,554,286.59,27818,13491.74
"Japan","Auxiliary materials for textile, garment, leather, footwear",0,11987.33,0,10533.62,0,11050.57,0,11811.9,0,11497.29,0,10727.54,NA,11802.47,NA,79410.75
"Japan","Computers, Electronical products & parts",0,121165.94,0,126586.12,0,123912.15,0,118190.31,0,117214.62,0,140926.97,NA,130167.35,NA,878163.49
"Japan","Other Machinery, instrument, accessory",0,209984.93,0,209406.65,0,224319.25,0,217281.65,0,219244.58,0,220792.07,NA,224142.33,NA,1525171.49
