"FileID","Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","August_Quantity","August_Value","September_Quantity","September_Value","October_Quantity","October_Value","November_Quantity","November_Value","December_Quantity","December_Value","X12_months_Quantity","X12_months_Value","Year"
1,"EU","Summary",229967,4280286.62,165030,2803097.49,367909,4372376.26,319314,4327480.04,179016,3812156.99,211010,4233495.1,127211,3936409.74,103098,4312032.07,138644,3650643.74,178771,4029092.98,147004,3666856.5,210381,3405425.21,2377355,46829354.13,2022
1,"EU","Fibres, not spun",1592,8403.76,1316,7781.48,1521,7876.42,2015,8655.21,1251,6016.53,1145,5922.94,1099,4774.69,1336,5547.82,932,4456.54,1204,4160.78,793,3632.95,940,4067.4,15144,71296.66,2022
1,"EU","Pieces of cloth and other technical cloths",0,2380.26,0,2828,0,3662.87,0,3044.81,0,3562.62,0,2641.79,0,3702.68,0,3815.69,0,4423.05,0,3123.58,0,2577.1,0,2847.7,0,38610.19,2022
1,"EU","Bags, pockets, wallets, suitcases, hats and umbrellas",0,90797.96,0,40499.81,0,77542.25,0,74726.06,0,80080.08,0,88938.9,0,72905.84,0,81683.1,0,71249.07,0,76281.02,0,82845.31,0,77139.04,0,914688.94,2022
1,"EU","Coal",0,0,0,0,230,40.72,0,0,0,0,0,0,111,20.07,11040,3961.28,0,0,0,0,0,0,139,26.85,11520,4048.94,2022
1,"EU","Articles of rubber",0,13774.13,0,7526.22,0,14032.2,0,11011,0,12432.08,0,9722.33,0,7466.18,0,10300.02,0,6747.78,0,6909.29,0,8104.21,0,8983.95,0,117009.82,2022
1,"EU","Iron, Steel",116060,160382.1,87407,99019.94,235994,249613.14,230495,280165.51,99233,130516.77,129390,165686.74,63982,71847.51,24511,39981.42,84314,61792.21,112087,79749.55,78014,53564.01,106303,76352.81,1367790,1468671.93,2022
1,"EU","Articles of iron and steel",0,91356.87,0,67590.93,0,110205.63,0,71264.48,0,86069.4,0,87220.8,0,80237.58,0,78747.48,0,65253.5,0,56883.63,0,54523.74,0,58428.84,0,907783.55,2022
1,"EU","Articles of plastics",0,60719.9,0,35505.77,0,56964.19,0,58436.93,0,56414.15,0,57624.2,0,51088,0,54254.7,0,41007,0,39013.97,0,42726.97,0,49453.17,0,603209.56,2022
1,"EU","Other furniture products (excluding wooden furniture)",0,4944.59,0,2422.31,0,5544.02,0,5626.26,0,2864.89,0,2416.63,0,1447.89,0,950.71,0,1178.37,0,3329.45,0,2443.47,0,4471.12,0,37639.8,2022
1,"EU","Rattan, bamboo and rush products",0,25133.95,0,15232.27,0,21492.95,0,19166.26,0,17172.22,0,14233.68,0,11604.74,0,11646.56,0,11740.61,0,11262.29,0,14160.92,0,18702.75,0,191549.67,2022
1,"EU","Pottery and glasware",0,11471.74,0,5307.57,0,9878.3,0,7484.14,0,6273.25,0,7074.27,0,5845.33,0,6411.54,0,4651.54,0,6414.71,0,8425.84,0,8718.04,0,87956.27,2022
1,"EU","Means of transport and equipment",0,94923.76,0,72823.22,0,88945.66,0,108689.92,0,115849.01,0,95345.25,0,82158.86,0,100319.79,0,76447.77,0,80112.66,0,88586.74,0,101410.57,0,1105613.82,2022
1,"EU","Auxiliary materials for textile, garment, leather, footwear",0,18112.12,0,14612.78,0,20160.19,0,21178.27,0,18951.55,0,22352.61,0,22338.7,0,20965.69,0,19793.3,0,19701.12,0,17964.25,0,16379.51,0,232510.59,2022
1,"EU","Computers, Electronical products & parts",0,585370.76,0,440218.42,0,637569.48,0,594940.44,0,545558.78,0,558067.07,0,495337.59,0,576604.63,0,511130.78,0,485363.71,0,461108.35,0,459991.4,0,6351262.2,2022
1,"EU","Other Machinery, instrument, accessory",0,446103.6,0,307771.05,0,421446.26,0,423338.14,0,441319.99,0,445679.96,0,524867.17,0,599760.97,0,562564.76,0,547653.6,0,465916.75,0,442190.42,0,5628613.37,2022
1,"EU","Cameras and their parts",0,7949.74,0,10153.77,0,14428.62,0,12606.48,0,11573.72,0,14298.04,0,17335.62,0,16264.86,0,15398.99,0,14689.66,0,17657.47,0,15177.98,0,167535.08,2022
1,"EU","Other base metals and products",0,5754.42,0,5114.4,0,8628.21,0,6693.15,0,5117.04,0,5129.28,0,4532.5,0,4286.49,0,5793.92,0,5336.84,0,7740.78,0,9114.48,0,73241.74,2022
1,"EU","Chemicals",0,8667.78,0,9899.62,0,12736.87,0,18505.79,0,14537.94,0,23876.6,0,10892.6,0,7644.08,0,7998.91,0,7571.11,0,10222.28,0,7979.91,0,140533.59,2022
1,"EU","Pepper",2827,14882.64,1967,9413.15,3938,20184.28,3392,17174.97,3035,15256.46,2747,14295.92,2720,13600.25,1789,8592.07,1497,7574.48,1409,6882.97,1898,8810.89,2396,10380.48,29615,147048.89,2022
1,"EU","Cashew nut",9024,50219.81,6341,36711.49,8709,47999.83,8893,48335.04,8906,51027.46,10152,62487.91,10233,60136.67,10622,59677.87,7103,44677.6,6505,39801.91,7108,42619.06,7712,46174.26,101308,589869.22,2022
1,"EU","Seafood",0,102643.74,0,67565.88,0,111950.53,0,117812.59,0,132143.16,0,119844.18,0,122392.03,0,115601.37,0,90154.46,0,89412.45,0,72134.23,0,81904.18,0,1223559.49,2022
1,"EU","Fresh and pocessed vegetables and fruit",0,16250.43,0,8513.13,0,11727.2,0,15009.69,0,14841.02,0,15611.33,0,16586.14,0,17378.11,0,13708.33,0,17804.76,0,17858.75,0,20970.57,0,186259.65,2022
1,"EU","Textile, sewing products",0,378119.42,0,195116.61,0,308813.22,0,361171.44,0,380962.64,0,466038.13,0,443508.55,0,425770.98,0,343856.41,0,355649.38,0,375404.96,0,347983.79,0,4382396.3,2022
1,"EU","Paper and paper products",0,276.19,0,55.86,0,262.68,0,181.52,0,249.73,0,173.54,0,291.41,0,158.28,0,201.55,0,310.99,0,219.64,0,302.67,0,2684.1,2022
1,"EU","Footwear",0,496112.75,0,309783.63,0,465043.41,0,503990.24,0,490202.23,0,566772.91,0,526132.33,0,499019.8,0,460969.91,0,543391.87,0,514881.92,0,468180.67,0,5844482.53,2022
1,"EU","Wood and wooden products",0,80817.16,0,38823.33,0,70036.87,0,57859.45,0,52266.11,0,42083.13,0,34605.55,0,37476.92,0,33123.44,0,47735.07,0,51901.86,0,65784.59,0,612514.12,2022
1,"EU","Rice",3176,2121.05,789,591.45,1814,1250.91,2401,1760.72,2136,1361.35,2552,1874.12,2340,1619.34,2763,1761.5,3009,1995.86,1926,1278.02,3762,2229.97,4499,2696.92,31167,20541.41,2022
1,"EU","Electrical wire and cable",0,2283.74,0,950.46,0,1780.95,0,3517.49,0,2198.01,0,2184.63,0,1187.45,0,1381.01,0,2214.28,0,662.39,0,666.83,0,1303.84,0,20331.18,2022
1,"EU","Tea",23,53.66,33,67.44,18,64.65,15,27.51,20,88.75,19,65.22,69,136.88,65,180.58,23,55.76,35,109.18,16,99.55,51,165.58,387,1114.84,2022
1,"EU","Plastic materials",5843,8348.57,7810,10071.29,6278,9753.68,5777,10883.63,5634,8208.42,4018,4460.6,3575,6048.06,3975,5544.73,3838,4757.17,3027,4163.4,3415,4292.52,8278,8573.88,61468,85106.06,2022
1,"EU","Rubber",7968,13129.06,5375,9789.46,6456,11353.61,2696,5249.61,4614,8335.67,6562,11415.41,6193,10354.21,5826,8434.68,4708,7096.21,5730,8239.93,5793,8183.11,7986,10615.94,69907,112197.3,2022
1,"EU","Coffee",83454,176973.29,53992,124768,102951,226965.71,63630,139359.6,54187,114643.55,54425,116923.59,36889,77529.86,41171,87870.86,33220,74461.17,46848,99697.16,46205,103163.45,72077,149095.28,689049,1491452.1,2022
1,"EU","Chemical products",0,1963.53,0,703.71,0,2142.95,0,1387.08,0,1821.61,0,1830.15,0,1456.71,0,1471.88,0,1602.22,0,823.59,0,761.66,0,1399.38,0,17364.59,2022
1,"EU","Sweets, cookies and cereal preparations",0,12224.87,0,5652.9,0,14038.13,0,14678.95,0,13586.25,0,16975.65,0,13895.07,0,16604.48,0,13972.67,0,15258.8,0,15310.69,0,16028.71,0,168227.45,2022
1,"EU","Telephones and their parts",0,663929.53,0,411396.96,0,573251.66,0,533229.14,0,355439.53,0,551371.88,0,584624.77,0,786180.08,0,523547.23,0,718405.09,0,546176.51,0,249035.42,0,6496588.49,2022
1,"EU","Toys, games and sports requisites; parts and accessories thereof",0,36089.9,0,27342.27,0,38828.35,0,51411.36,0,46352.58,0,47924.33,0,53306.33,0,61641.43,0,60150.05,0,116972.57,0,76566.23,0,52256.6,0,668842.41,2022
1,"EU","Precious stones, precious metals and their products",0,5534.87,0,3532.14,0,9802.18,0,9040.81,0,8765.17,0,6500.39,0,5653.08,0,5219.13,0,6408.36,0,7209.91,0,9976.9,0,7878.15,0,85521.28,2022
1,"ASEAN","Summary",2049287,2780894.56,1698082,2245470.97,1671139.14,3031900.03,2123340.35,3122809.28,1756126.5,3296945.13,2186409,3186380.9,1946691,2796200.54,1823545,3082764.96,1346224,2637710.12,1792895,2509228.06,1657192,2452688.18,1888148,2878347.29,21939079,34021340.52,2022
1,"ASEAN","Fibres, not spun",11798,45489.87,11749,41235.48,13618,45813.52,10341,37036.01,12034,41894.06,13160,44925.8,10600,35143.51,12595,39263.89,11346,33279.53,9871,28180.26,10703,29846.6,12866,35059.03,140681,457167.81,2022
1,"ASEAN","Petroleum oil, refined",80710,60878.36,67255,51031.57,66765.5,99058.65,120426,119931.12,113021.5,94526.42,70287,90359.68,67953,75077.87,61988,60121.19,53731,46605.09,71436,56222.85,61622,59208.99,162140,135352.75,997335,948374.77,2022
1,"ASEAN","Pieces of cloth and other technical cloths",0,7112.83,0,5614.89,0,7114.23,0,7303.22,0,7624.95,0,7688.6,0,5354.04,0,5876.11,0,4869.13,0,5221.01,0,4861.94,0,4426.34,0,73067.39,2022
1,"ASEAN","Bags, pockets, wallets, suitcases, hats and umbrellas",0,3414.58,0,2546.74,0,2909.66,0,2571.37,0,5078.09,0,5480.11,0,3657.25,0,4102.92,0,3437.57,0,3782.15,0,4638.05,0,4200.97,0,45819.62,2022
1,"ASEAN","Animal fodder and materials",0,28927.11,0,18571.46,0,27096.34,0,25255.87,0,34646.61,0,32028.95,0,35062.94,0,31806.68,0,24685.92,0,34034.07,0,29686.47,0,26139.87,0,347942.54,2022
1,"ASEAN","Glass and glassware",0,58887.69,0,48698.78,0,64145.21,0,62338.46,0,53623.17,0,58753.8,0,52289.51,0,47146.49,0,47453.02,0,19602.27,0,13976.16,0,21068.52,0,547983.31,2022
