"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","August_Quantity","August_Value","September_Quantity","September_Value","October_Quantity","October_Value","November_Quantity","November_Value","December_Quantity","December_Value","12_months_Quantity","12_months_Value"
"EU",NA,0,1018118.17,0,1027332.38,0,1290407.34,0,1155201.6,0,1259378.97,0,1392674.28,0,1313177.12,0,1280347.56,0,1356977.81,0,1242065.82,0,1308890.34,0,1286483.51,0,14931056.32
"EU","Fibres, not spun",232,1026.06,299,1187.05,608,2170.56,394,1222.45,756,1915.95,777,2252.82,320,1167.79,321,1256.35,384,1123.13,100,505.05,805,2524.17,1080,2879.3,6076,19230.74
"EU","Textile fibrics",0,8984.51,0,16192.38,0,14509.04,0,14126.11,0,19003.41,0,13754.76,0,15218.4,0,18105.98,0,11356.87,0,12370.14,0,18906.49,0,15516.49,0,178044.79
"EU","Insecticides and materials",0,3432.93,0,5728.25,0,6069.15,0,7455.87,0,8341.11,0,3526.7,0,3838.73,0,5138.24,0,3386.77,0,3673.99,0,3789.45,0,3894.69,0,58276.05
"EU","Animal fodder and materials",0,35698.17,0,24861.69,0,32352.04,0,29357.3,0,37787.44,0,17253.37,0,14338.8,0,15863.35,0,7319.56,0,7606.63,0,8439.77,0,10275.44,0,241153.93
"EU","Glass and glassware",0,608.46,0,1743.18,0,2787.28,0,1832.98,0,1763.15,0,2001.6,0,1006.88,0,1723.77,0,969.26,0,1265.73,0,959.11,0,2479.47,0,19140.95
"EU","Iron, Steel",1377,5033.52,936,4615.54,1599,7387.37,3550,10025,1466,7847.44,1229,7463.32,800,4997.25,2232,8486.13,1392,7465.49,2664,8258.21,4766,9968.06,1629,7627.04,23640,89174.8
"EU","Articles of iron and steel",0,11319.86,0,13510.53,0,15732.07,0,14248.1,0,16122.05,0,15224.41,0,13218.86,0,16007.11,0,14723.61,0,13797.96,0,14531.4,0,16723.09,0,175159.57
"EU","Other base metal products",0,509.41,0,1656.78,0,1376.21,0,1238.63,0,1168.64,0,1150.34,0,1223.31,0,1345.46,0,1038.5,0,940.47,0,1332.1,0,1152.76,0,14132.65
"EU","Paper products",0,254.2,0,412.89,0,509.41,0,345.42,0,268.58,0,702.73,0,479.05,0,272.46,0,104.1,0,345.73,0,312.87,0,282,0,4289.48
"EU","Articles of plastics",0,11352.27,0,12720.72,0,14509.77,0,14508.45,0,16512.75,0,14316.13,0,15729.28,0,14667.09,0,11807.97,0,12587.42,0,12333.23,0,15101.89,0,166147.3
"EU","Articles of rubber",0,2577.07,0,3612.74,0,4224.82,0,3101.87,0,4407.17,0,4262.6,0,3934.64,0,4554.55,0,3250.29,0,3236.35,0,3509.47,0,3840.91,0,44512.65
"EU","Other petroleum products",0,1817.09,0,1573.71,0,1862.36,0,1274.07,0,1090.17,0,1731.98,0,1495.99,0,1963.97,0,1932.92,0,1544.64,0,1095.41,0,1825.86,0,19208.32
"EU","Chemical products",0,39062.05,0,44787.04,0,55597.59,0,49204.59,0,56215.86,0,50607.95,0,53753.83,0,51791.26,0,48484.7,0,52075.08,0,53927.5,0,55798.71,0,611306.62
"EU","Dairy products",0,16441.31,0,21289.27,0,21937.39,0,16911.15,0,31379.45,0,22935.28,0,18200.4,0,19509.82,0,13166.44,0,25159.69,0,24547.69,0,17121.97,0,248600.29
"EU","Ores and other minerals",231,413.39,499,1184.26,426,1293.75,407,1136.42,221,995.48,274,555.54,479,1186.41,246,650.63,338,776.7,113,47.95,698,1359.17,7,6.92,3939,9606.7
"EU","Waste iron and steel",0,0,0,0,1487,614.09,2520,1055.21,0,0,0,0,227,105.31,0,0,0,0,0,0,0,0,0,0,4234,1774.62
"EU","Other means of transort and equipments",0,22419.7,0,8848.2,0,12364.6,0,13278.66,0,16301.69,0,25074.69,0,9179.06,0,12660.52,0,9389.77,0,9616.19,0,18925.91,0,11337.79,0,169396.94
"EU","Fertilizers",3411,1781.93,4199,2311.56,8858,4364.4,4672,1839.9,5924,2740.17,9714,3537.17,7124,3351.94,9162,3352.96,7875,2761.17,11579,3594.09,11538,3874.13,7828,2656.85,91884,36166.36
"EU","Auxiliary materials for cigarettes",0,153.95,0,60.7,0,65.77,0,155.1,0,115.13,0,1022.11,0,65.4,0,1295.92,0,825.67,0,1199.71,0,849.22,0,320.51,0,6129.25
"EU","Auxiliary materials for textile, garment, leather, footwear",0,13438.91,0,16576.03,0,16460.77,0,20486.63,0,22608.81,0,18534.46,0,23470.07,0,23634.93,0,20203.32,0,16530.92,0,22195.42,0,21689.57,0,235830.23
"EU","Auxiliary materials for medicaments",0,2120.03,0,2791.71,0,2337.39,0,2343.66,0,1606.97,0,3869.05,0,3235.48,0,4134.16,0,2162.98,0,3201.95,0,2616.35,0,1985.49,0,32405.43
"EU","Computers, electronical products and parts",0,214458.53,0,156301.18,0,240210.75,0,194818.61,0,166185.29,0,375616.66,0,292476.11,0,255452.62,0,405225.11,0,229174.5,0,279610.15,0,292681.25,0,3102211.34
"EU","Other Machinery, instrument, accessory",0,176355.22,0,213529.32,0,263682.42,0,231045.72,0,263252.07,0,212869.01,0,258696.14,0,243241.54,0,218547.43,0,318105.08,0,224876.79,0,250807.24,0,2875008.67
"EU","Wheat",0,0,0,0,609,199.81,0,0,11298,3912.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11907,4111.99
"EU","Parts and accessories for motor",0,6232.88,0,11530.22,0,16043.85,0,9607.44,0,13474.88,0,21967.65,0,12849.94,0,29379.91,0,14274.83,0,12805.4,0,13347.72,0,14275.86,0,175790.81
"EU","Other base metals",862,5641.69,476,2709.46,444,2770.41,340,2962.74,475,3754.24,521,4139.55,448,3273.12,431,3958.39,336,1947.86,406,3257.19,319,2990.61,378,2427.29,5436,39832.92
"EU","Chemicals",0,16610.35,0,10225.98,0,42945.21,0,41916.32,0,67308.96,0,46115.29,0,67471.19,0,38915.98,0,75155.21,0,15285.4,0,61001.59,0,69974.91,0,552926.78
"EU","Fishery products",0,2477.76,0,3409.66,0,5473.37,0,3096.7,0,2241.08,0,1819.17,0,1270.21,0,1625.21,0,1537.49,0,1809.31,0,2660.74,0,807.34,0,28228.23
"EU","Domestic electrical appliances and parts",0,878.19,0,1188.77,0,837.57,0,1739.94,0,2581.89,0,1545.97,0,1706.41,0,1321.82,0,1042.71,0,770.14,0,1222.71,0,1749.97,0,16586.19
"EU","Paper",3535,4673.67,3879,5184.49,4114,5587.75,3828,5231.17,6817,7794.66,9598,9777.6,10657,9755.9,7042,7262.33,8442,8441.6,6827,6950.42,6297,7027.27,4643,5199.76,75679,82886.87
