"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","7_months_Quantity","7_months_Value"
"EU",NA,0,1005697.38,0,1437506.66,0,1349255.05,0,1318185.67,0,1636128.23,0,1601335.35,NA,1587752.97,NA,9935861.97
"EU","Fibres, not spun",1129,3070.49,624,2225.11,1108,2678.52,1445,4422.1,721,2254.55,906,2871.87,1279,3734.56,7212,21257.26
"EU","Textile fibrics",0,9269.79,0,12363.79,0,14211.89,0,17287.64,0,18148.68,0,14585.73,NA,16459.07,NA,102326.74
"EU","Insecticides and materials",0,3040.32,0,2469.19,0,5270.57,0,7863.55,0,11177.3,0,11588.17,NA,9507.26,NA,50916.42
"EU","Animal fodder and materials",0,8678.83,0,12341.73,0,10640.5,0,10382.53,0,15317.67,0,18735.24,NA,11884.09,NA,87980.82
"EU","Glass and glassware",0,1305.26,0,3078.48,0,3728.6,0,2484.47,0,1969.68,0,2258.65,NA,2744.78,NA,17569.98
"EU","Iron, Steel",2097,4157.93,2155,5464.65,1492,6285.04,2094,6940.21,2157,7893.54,1761,6629.85,2172,7884.26,13928,45255.75
"EU","Articles of iron and steel",0,14968.11,0,16676.32,0,16214.8,0,19798.52,0,21355.98,0,21676.18,NA,23241.55,NA,133931.73
"EU","Other base metal products",0,986.69,0,1855.24,0,1621.39,0,2253.56,0,1836.62,0,2079.93,NA,2258.31,NA,12891.78
"EU","Paper products",0,197,0,381.02,0,265.76,0,418.81,0,335.97,0,411.82,NA,371.54,NA,2381.95
"EU","Articles of plastics",0,12697.88,0,15073.66,0,14688.29,0,16628.54,0,17529.04,0,17193.57,NA,19123.26,NA,112934.41
"EU","Articles of rubber",0,2998.87,0,5348.23,0,3330.52,0,4237.76,0,3493.86,0,4063.6,NA,3878.89,NA,27351.82
"EU","Other petroleum products",0,1569.72,0,1932.98,0,1615.33,0,2885.84,0,1604.14,0,2052.15,NA,2459.64,NA,14119.86
"EU","Chemical products",0,39127.47,0,52392.74,0,50143.15,0,55650.02,0,54461.6,0,57894.75,NA,59052.74,NA,368722.81
"EU","Dairy products",0,16454.88,0,22836.01,0,26380.06,0,28370.25,0,35429.77,0,54973.81,NA,31972.18,NA,216417.17
"EU","Ores and other minerals",538,1432.84,52,58.25,377,1047.32,293,757.09,239,1128.07,746,1710.01,320,815.56,2565,6949.2
"EU","Waste iron and steel",0,0,0,0,0,0,0,0,0,0,83,40.4,NA,0,83,40.4
"EU","Other means of transort and equipments",0,9127.43,0,19000.74,0,14618.66,0,51121.42,0,68278.96,0,30230.23,NA,67657.64,NA,260035.16
"EU","Fertilizers",7716,2875.85,8758,3774.61,11658,4939.97,12826,4989.99,12476,5662.32,14345,5229.58,13626,5946.36,81405,33418.74
"EU","Auxiliary materials for cigarettes",0,22.93,0,0,0,413.68,0,367.43,0,155.66,0,214.32,NA,195.56,NA,1369.61
"EU","Auxiliary materials for textile, garment, leather, footwear",0,13790.5,0,25449.3,0,23048.79,0,27301.95,0,30942.16,0,25928.61,NA,23212.63,NA,169674.12
"EU","Auxiliary materials for medicaments",0,1808.97,0,3704.02,0,1480.7,0,1265.99,0,1166.03,0,1891.09,NA,1700.19,NA,13017.11
"EU","Computers, electronical products and parts",0,196651.96,0,356130.72,0,259291.17,0,202885.41,0,367678.46,0,270801.95,NA,329432,NA,1982871.98
"EU","Other Machinery, instrument, accessory",0,207240.82,0,254523.61,0,261318.61,0,236863.44,0,317136.97,0,282590.52,NA,302964.12,NA,1862638.51
"EU","Parts and accessories for motor",0,6172.27,0,8736.28,0,14472.58,0,13741.01,0,11397.17,0,9540.04,NA,16289.06,NA,80348.56
"EU","Other base metals",358,2813.05,405,4150.84,869,5720,740,6110.09,958,4802.04,882,5678.02,681,6304.97,4893,35579.18
"EU","Chemicals",0,21346.56,0,34960.1,0,40184.68,0,38918.84,0,35020.47,0,24651.69,NA,27999.87,NA,223082.5
"EU","Fishery products",0,2361.51,0,2854.75,0,1950.96,0,4681.51,0,3994.45,0,3875.85,NA,1826.65,NA,21545.73
"EU","Domestic electrical appliances and parts",0,1252.15,0,662.38,0,1176.45,0,1755.87,0,1840.82,0,1247.26,NA,927.69,NA,8862.68
"EU","Paper",4646,6295.35,8017,9109.65,5921,7581.98,7803,9533.16,8256,10201.01,5628,8009.54,7596,9087.63,47867,59818.47
"EU","Wood and wooden products",0,13230.27,0,16439.76,0,16270.61,0,17264.31,0,18870.72,0,24366.57,NA,23837.34,NA,130279.77
"EU","Pharmaceutical products",0,133252.03,0,198503.01,0,202758.51,0,174151.86,0,204591.11,0,268701.81,NA,209702.51,NA,1391661.21
"EU","Electrical wire and cable",0,1517.25,0,2033.66,0,1710.59,0,2471.37,0,2343.5,0,2185.25,NA,2664.17,NA,14925.87
"EU","Other preparations for foodstuff",0,7734.21,0,11279.62,0,9692.05,0,9351.49,0,9477.69,0,8013.16,NA,9773.21,NA,65321.63
"EU","Plastic materials",3960,14868.09,5301,17319.24,6238,19837.53,6595,19702.25,6294,18454.32,6454,20844.95,5210,18700.76,40052,129727.31
"EU","Aromatic substance, cosmetic and cleaning preparations",0,7920.4,0,12360.6,0,10682.13,0,11474.61,0,10165.84,0,12827.24,NA,12800.81,NA,78231.75
"EU","Rubber",328,1021.3,768,1898.69,693,1814.67,1089,2555.34,865,2269.64,573,1536.77,305,1260.16,4621,12356.65
"EU","Sweets, cookies and cereal preparations",0,897.99,0,571.5,0,658.43,0,672.06,0,1009.71,0,1257.57,NA,913.64,NA,5980.97
"EU","Precious stones, precious metals and their products",0,2777.7,0,10014.42,0,13046.09,0,8330.13,0,10944.79,0,8138.4,NA,6855.15,NA,60106.78
"EU","Motor vehicles, assembled",19,880.79,68,4467.87,26,1797.44,9,819.13,38,2583.44,33,1915.08,45,2450.89,238,14914.67
"ASEAN",NA,0,3455270.33,0,4395248.74,0,5163544.2,0,4877793.68,0,4407625.91,0,4185701.35,NA,4217247.01,NA,30702431.46
"ASEAN","Fibres, not spun",10543,18017.3,13116,23020.64,12993,21610.26,10558,17548.46,11114,19238.1,12110,19571.07,11710,21520.03,82144,140525.96
"ASEAN","Petroleum oil, refined",495508,365735.97,321553,229120.49,411752,283956.84,596476,389164.64,378812,241706.3,616943,433409.5,559748,391888.8,3380792,2334982.63
"ASEAN","Textile fibrics",0,31374.26,0,43729.31,0,45217.54,0,38471.47,0,46128.56,0,39900.14,NA,42255.47,NA,287076.88
"ASEAN","Insecticides and materials",0,9386.33,0,19533.04,0,17304.44,0,10137.16,0,11509.84,0,11120.07,NA,10206.52,NA,89197.48
"ASEAN","Animal fodder and materials",0,19975.72,0,33162.7,0,28238.46,0,25458.34,0,33160.64,0,32868.56,NA,34091.33,NA,206955.9
"ASEAN","Glass and glassware",0,10361.1,0,12141.8,0,19229.54,0,17897.11,0,19606.66,0,20119.15,NA,18045.03,NA,117400.47
"ASEAN","Coal",2137611,175503.86,2685674,222690.37,2936801,229774.21,3212096,244170.03,3205462,237514.28,2697859,215198.21,1753877,117593.77,18629380,1442444.78
"ASEAN","Iron, Steel",81409,100942.19,127549,138468.24,118655,152447.49,139573,149302,187046,199099.24,74505,91001.71,86616,125869.6,815353,957130.59
"ASEAN","Articles of iron and steel",0,17993.08,0,21361.97,0,19939.74,0,22079.7,0,22450.44,0,26283.65,NA,22578.38,NA,152687.09
"ASEAN","Other base metal products",0,6508.71,0,8802.2,0,8937.61,0,7973,0,7179.66,0,8346.46,NA,8731.42,NA,56479.19
"ASEAN","Paper products",0,5669.94,0,9177.9,0,11107.93,0,11138.7,0,9836.26,0,12669.14,NA,9471.49,NA,69071.48
"ASEAN","Articles of plastics",0,25339.59,0,36158.25,0,39517.11,0,37595.03,0,42571.85,0,40746.55,NA,41001.53,NA,262930.06
"ASEAN","Articles of rubber",0,8939.29,0,14124.83,0,13299.45,0,13769.04,0,14247.59,0,14148.31,NA,14349.34,NA,92878.01
"ASEAN","Other petroleum products",0,42505.81,0,48220.07,0,84916.65,0,54924.45,0,76283.8,0,61634.91,NA,66587.65,NA,435073.44
"ASEAN","Chemical products",0,65721.26,0,83932.24,0,93974.22,0,79283.26,0,93167.53,0,89339.64,NA,96126.23,NA,601544.51
"ASEAN","Dairy products",0,10915.8,0,15107.72,0,16278.11,0,12394.83,0,21033.43,0,14551.09,NA,16903.49,NA,107184.57
"ASEAN","Ores and other minerals",236485,12326.33,233048,20087.74,313484,28518.9,346664,37083.11,326786,15296.26,342481,13754.4,354977,19138.62,2153925,146205.5
"ASEAN","Waste iron and steel",440,248.1,18669,6787.78,11787,3947.13,14704,5227.67,17760,6186.26,20505,6712.3,29076,9578.67,112941,38687.93
"ASEAN","Other means of transort and equipments",0,81.49,0,124.48,0,113.91,0,687.39,0,39.65,0,1195.35,NA,297.11,NA,2539.43
"ASEAN","Fertilizers",45281,13420.61,51386,14369.75,57547,16112.18,89320,26882.87,77888,23719.17,50398,16186.96,67882,22964.91,439702,133656.57
"ASEAN","Auxiliary materials for cigarettes",0,536.78,0,1045.28,0,1917.56,0,1197.34,0,19405.55,0,44242.22,NA,1557.34,NA,69902.16
"ASEAN","Auxiliary materials for textile, garment, leather, footwear",0,30968.83,0,45857.6,0,49362.13,0,39317.95,0,43830.27,0,42767.87,NA,42686.3,NA,294791.07
"ASEAN","Auxiliary materials for medicaments",0,163.31,0,618.72,0,286.06,0,250.73,0,553.07,0,43.86,NA,100.56,NA,2016.34
"ASEAN","Maize",15184,3802.41,13318,3337.98,8595,4220.15,6416,3674.2,5669,3609.32,3816,2169.93,3301,1894.62,56299,22708.65
"ASEAN","Computers, electronical products and parts",0,527923.2,0,606217.92,0,680341.12,0,675615.72,0,782387.94,0,705027.56,NA,777740.37,NA,4755254
"ASEAN","Other Machinery, instrument, accessory",0,190432.35,0,213104.09,0,235694.71,0,218385.22,0,250297.24,0,259178.38,NA,267403.75,NA,1634495.9
"ASEAN","Cameras and their parts",0,3657.43,0,5981.38,0,3719.62,0,5433.06,0,7018.16,0,6221.82,NA,10392.38,NA,42423.87
"ASEAN","Parts and accessories for motor",0,69212.87,0,96545.24,0,101779.45,0,86566.66,0,97791.47,0,95228.63,NA,105523.04,NA,652647.46
"ASEAN","Other base metals",32797,178286.52,43205,242673.78,40708,201267.71,37487,182175.14,43670,205955.49,40453,190718.18,39197,190313.2,277517,1391390.21
"ASEAN","Liquefied Petroleum Gas",29953,21437.17,33955,24101.33,76170,51654.22,97006,67434.64,24074,16140.38,102217,63980.45,25352,16602.48,388727,261350.7
"ASEAN","Chemicals",0,83107.01,0,101975.86,0,111182.97,0,125875.01,0,105447.21,0,100679.13,NA,104943.04,NA,733210.34
