"FileID","Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","August_Quantity","August_Value","September_Quantity","September_Value","October_Quantity","October_Value","November_Quantity","November_Value","December_Quantity","December_Value","X12_months_Quantity","X12_months_Value","Year"
"1","EU",NA,0,1239383.79,0,1269758.91,0,1371214.57,0,1396533.54,0,1378414.8,0,1221822.28,0,1200410.55,0,1240217.99,0,1156573.18,0,1264919.18,0,1236105.88,0,1443664.95,0,15419020.98,"2022"
"1","EU","Fibres, not spun",313,1404,252,908.7,275,1031.04,445,1694.56,306,1119.18,169,785.75,281,1040.07,139,963.98,293,1165.08,95,1259.06,352,1242.83,157,557.78,3077,13172.09,"2022"
"1","EU","Textile fibrics",0,10919.09,0,11579.77,0,14017.86,0,17972.39,0,22874.29,0,16386.64,0,17317.15,0,18536.62,0,12121.37,0,15266.69,0,17128.9,0,16241.98,0,190362.98,"2022"
"1","EU","Insecticides and materials",0,8138.04,0,9731.53,0,4095.37,0,7330.79,0,6013.18,0,5399.65,0,7571.97,0,6519.56,0,5955.22,0,4834.64,0,6114.92,0,6527.47,0,78232.51,"2022"
"1","EU","Animal fodder and materials",0,35852.98,0,26980.55,0,29197.65,0,35584.56,0,47523.05,0,48365.46,0,40048.95,0,51960.6,0,40771.41,0,39705.62,0,63170.67,0,41837.33,0,500999.23,"2022"
"1","EU","Glass and glassware",0,1275.11,0,1084.99,0,2305.28,0,3112.92,0,1180.17,0,1368.93,0,1392.73,0,1658.72,0,1531.89,0,1223.4,0,1693.44,0,980.95,0,18808.63,"2022"
"1","EU","Iron, Steel",2162,9474.07,1660,7183.41,1988,10246.6,2726,7787.7,2313,6888.62,2231,9538.67,2284,9388.98,2240,10111.92,1966,8912.21,1162,8204,1620,8678.91,2105,7689.29,24457,104104.86,"2022"
"1","EU","Articles of iron and steel",0,10754.15,0,10379.51,0,14609.7,0,14703.48,0,16983.73,0,16307.05,0,16960.32,0,17957.72,0,17997.74,0,15709.36,0,17183,0,21853.76,0,191400.08,"2022"
"1","EU","Other base metal products",0,934.58,0,981.07,0,1145.6,0,854.3,0,966.22,0,1188.46,0,1074.47,0,1094.64,0,1184.13,0,1280.17,0,1821.58,0,1432.32,0,13957.58,"2022"
"1","EU","Paper products",0,616.37,0,643.67,0,878.42,0,825.69,0,755.99,0,805.86,0,1032.15,0,343.73,0,408.31,0,609.72,0,289.41,0,662.02,0,7871.39,"2022"
"1","EU","Articles of plastics",0,13393.94,0,11628.41,0,13019.9,0,12975.14,0,13022.8,0,13679.62,0,12175.3,0,14208.35,0,13843.15,0,13273.25,0,15845.64,0,14975.85,0,162041.68,"2022"
"1","EU","Articles of rubber",0,5028.5,0,2526.56,0,4526.49,0,4462.57,0,3180.77,0,3632.02,0,3968.12,0,4346.14,0,4487.84,0,4226.85,0,3212.9,0,3706.34,0,47305.23,"2022"
"1","EU","Other petroleum products",0,3080.15,0,1616.65,0,2766.24,0,2834.53,0,2192.76,0,2102.33,0,1946.05,0,3099.4,0,2460.67,0,2336.59,0,1713.22,0,1854.7,0,28003.41,"2022"
"1","EU","Chemical products",0,61892.15,0,46687.69,0,68660.95,0,51729.92,0,55113.85,0,57157.85,0,60106.49,0,64339.76,0,53816.16,0,49507.96,0,55712.95,0,68239.35,0,692965.54,"2022"
"1","EU","Dairy products",0,21688.55,0,19269.89,0,19500.02,0,18728.67,0,18297.67,0,24227.42,0,24038.18,0,23684.09,0,18413.93,0,17971.25,0,13475.49,0,15212.46,0,234508.1,"2022"
"1","EU","Ores and other minerals",620,1143.51,228,328.2,231,604.45,356,641.99,177,283.11,380,1374.29,129,72.37,189,461.62,333,603.16,272,177.57,251,396.65,250,193.04,3416,6280.05,"2022"
"1","EU","Waste iron and steel",707,332.35,0,0,764,366.52,0,0,707,369.28,0,0,0,0,0,0,38676,14643.38,0,0,0,0,0,0,40854,15711.55,"2022"
"1","EU","Other means of transort and equipments",0,15824.12,0,7876.93,0,8721.61,0,10861.3,0,21955.61,0,42386.9,0,15443.48,0,12523.96,0,10949.54,0,24345.99,0,13734.66,0,14825.14,0,199449.35,"2022"
"1","EU","Fertilizers",9032,3797.99,7027,2608.22,8867,3796.1,4873,2852.1,2745,971.31,6107,2138.57,8789,4452.56,3579,2151.31,3471,2023.15,4809,3002.4,3602,2002.75,3787,1878.77,66688,31675.3,"2022"
"1","EU","Auxiliary materials for cigarettes",0,0,0,51.25,0,633.23,0,260.67,0,990.63,0,842.31,0,1007.25,0,242.08,0,655.52,0,104.34,0,520.31,0,976.14,0,6283.77,"2022"
"1","EU","Auxiliary materials for textile, garment, leather, footwear",0,19642.85,0,24041.8,0,32734.04,0,24666.99,0,24957.32,0,21934.41,0,20458.57,0,20484.38,0,17892.27,0,13747.17,0,16662.26,0,18464.3,0,255686.67,"2022"
"1","EU","Auxiliary materials for medicaments",0,1816.4,0,2061.9,0,1535.27,0,2033.63,0,1705.1,0,3245.67,0,1478.49,0,2606,0,1945.93,0,3320.18,0,1518.63,0,3595.23,0,26862.66,"2022"
"1","EU","Computers, electronical products and parts",0,339237.72,0,415505.83,0,400331.41,0,474902.27,0,306828.84,0,155662.47,0,218129.34,0,210166.88,0,222946.14,0,303647.76,0,185617.62,0,212975.91,0,3445952.89,"2022"
"1","EU","Other Machinery, instrument, accessory",0,264348.83,0,201108.88,0,250968.1,0,231237.44,0,227415.2,0,238848.07,0,228628,0,245959.68,0,203529.77,0,196763.74,0,257291.7,0,303899.34,0,2849999.49,"2022"
"1","EU","Wheat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,96.18,0,0,0,0,0,0,0,0,242,96.18,"2022"
"1","EU","Parts and accessories for motor",0,5970.57,0,7111.8,0,11704.68,0,11503.12,0,12142.42,0,8510.78,0,5640.78,0,6779.64,0,9595.91,0,9185.11,0,8599.33,0,10614.48,0,107358.82,"2022"
"1","EU","Other base metals",673,3288.1,1698,14802.85,893,5479.92,1460,15042.91,309,2546.31,933,7288.1,1190,9490.6,888,7725.16,762,6298.17,1267,10577.37,512,2643.07,1855,13702.06,12440,98884.91,"2022"
"1","EU","Chemicals",0,14078.18,0,32428.28,0,25188.05,0,29735.35,0,30109.11,0,43600.64,0,43888.39,0,36657.86,0,28217.63,0,29102.38,0,35218.91,0,21660.74,0,369885.9,"2022"
"1","EU","Fishery products",0,3195.78,0,1399.19,0,2217.03,0,4429.3,0,3781.94,0,2277.67,0,4296.36,0,2019.37,0,978.6,0,1831.05,0,2475.74,0,4128.84,0,33031.03,"2022"
"1","EU","Domestic electrical appliances and parts",0,876.03,0,814.88,0,1423.8,0,939.35,0,1783.05,0,1068.09,0,1423.57,0,1546.77,0,2287,0,1324.7,0,2107.31,0,2070.09,0,17664.72,"2022"
"1","EU","Paper",3141,4395.4,3663,4932.19,4607,5886.49,2109,3055.39,3801,5666.06,6374,8156.43,5091,6580.72,6222,8225.47,2312,3843.78,4201,5958.91,3999,5347.07,3813,6480.97,49333,68529.13,"2022"
"1","EU","Wood and wooden products",0,13585.29,0,10019.37,0,16627.42,0,16108.16,0,20239.8,0,23070.08,0,19437.62,0,28055.89,0,22802.23,0,16068.25,0,15144.57,0,19664.41,0,220823.38,"2022"
"1","EU","Pharmaceutical products",0,107289.96,0,141047.34,0,138168.82,0,120494.25,0,195716.07,0,155364.97,0,103058.97,0,102746.4,0,139950.4,0,161045.03,0,155736.66,0,229345.32,0,1749964.8,"2022"
"1","EU","Electrical wire and cable",0,1480.15,0,2811.03,0,2889.54,0,1970.7,0,3947.7,0,1904.73,0,1610.92,0,3000.41,0,1352.91,0,2851.42,0,2095.47,0,2597.17,0,28512.33,"2022"
"1","EU","Other preparations for foodstuff",0,10111.66,0,8796.25,0,8752.33,0,8732.63,0,11741.27,0,12144.14,0,12889.54,0,13397.14,0,8805.76,0,8595.12,0,5868.13,0,11014.95,0,120849.21,"2022"
"1","EU","Plastic materials",4762,16730.22,3014,14465.73,4574,19327.1,4144,18472.94,4885,20005.4,5767,24334.09,5290,24406.67,4581,21374.26,4190,17047.76,4638,18883.26,5132,21014.5,4788,17505.89,55765,233568.2,"2022"
"1","EU","Aromatic substance, cosmetic and cleaning preparations",0,6419.49,0,6098.8,0,8228.42,0,7064.27,0,8946.58,0,11532.78,0,8575.4,0,10823.43,0,10519.19,0,9534.6,0,10754.04,0,11532.5,0,110029.75,"2022"
"1","EU","Rubber",617,1678.46,1455,3312.71,1363,3062.99,981,2852.08,1275,2824.96,836,2332.08,545,2273.7,573,2431.12,407,2064.08,354,1480.47,373,1730.42,371,1784.29,9150,27827.58,"2022"
"1","EU","Sweets, cookies and cereal preparations",0,851.47,0,790.3,0,1180.48,0,867.66,0,799.32,0,728.37,0,1447.69,0,1253,0,1466.88,0,1578.3,0,2593.35,0,1549.92,0,15106.86,"2022"
"1","EU","Telephones and their parts",0,0,0,66.59,0,0,0,0,0,0,0,22.55,0,24.13,0,40.76,0,0,0,29.44,0,0,0,0,0,183.49,"2022"
"1","EU","Precious stones, precious metals and their products",0,5613.06,0,7130.48,0,19081.89,0,12805.39,0,15982.49,0,7938.05,0,12267.49,0,5072.18,0,13526.14,0,11697.9,0,8025,0,10465.02,0,129605.21,"2022"
"1","EU","Motor vehicles, assembled",169,9796.46,106,6941.58,68,4300.98,172,9608.15,161,9244.2,129,8046.97,78,4797.56,41,3165.75,70,4379.2,119,7029.95,203,15097.61,73,4430.68,1389,86839.15,"2022"
"1","ASEAN",NA,0,3451631.8,0,3533618.25,0,4845554.22,0,4323186.44,0,4133513.44,0,4143558.31,0,3811732,0,3820188.04,0,3579076.44,0,3678782.07,0,3896228.71,0,4066423.2,0,47283493.35,"2022"
"1","ASEAN","Fibres, not spun",13299,27536.97,12446,25324.25,13107,25741.42,8071,19604.54,11348,22647.02,9482,19791.17,9952,21984.46,12894,24120.04,9819,18396.02,12305,21837.18,11219,18657.57,12699,21463.54,136641,267104.33,"2022"
"1","ASEAN","Petroleum oil, refined",377164,271577.15,360242,311003.41,391058,404870.24,290057,309933.89,267623,310351.76,310971,419371.84,276701,294585.09,165613,165018.39,355097,337637.38,358918,311046.73,480288,474800.33,352260,282587.93,3985992,3892784.3,"2022"
"1","ASEAN","Textile fibrics",0,39011.61,0,48724.27,0,57004.1,0,47614.89,0,52252.67,0,52453.82,0,49384.08,0,44032.87,0,47979.26,0,43591.34,0,43179.19,0,49003.93,0,574232.26,"2022"
"1","ASEAN","Insecticides and materials",0,10013.3,0,12111.26,0,12342.75,0,13285.64,0,11086.39,0,12990.64,0,12427.63,0,14635.38,0,15346.76,0,11412.84,0,10620.53,0,8997.08,0,145270.42,"2022"
